"","survey_1","survey_2","survey_3","survey_4","survey_5","survey_6","survey_7","survey_8"
"Cascada_0",0,0,0,0,NA,NA,NA,NA
"Cascada_100",0,0,0,0,NA,NA,NA,NA
"Cascada_120",0,0,NA,NA,NA,NA,NA,NA
"Cascada_140",0,0,0,0,NA,NA,NA,NA
"Cascada_160",0,0,0,0,NA,NA,NA,NA
"Cascada_180",0,0,0,0,NA,NA,NA,NA
"Cascada_20",0,0,0,0,NA,NA,NA,NA
"Cascada_40",0,0,0,0,NA,NA,NA,NA
"Cascada_60",0,0,0,NA,NA,NA,NA,NA
"Cascada_80",0,NA,NA,NA,NA,NA,NA,NA
"Guabal_0",0,0,0,NA,NA,NA,NA,NA
"Guabal_100",0,0,0,NA,NA,NA,NA,NA
"Guabal_120",0,0,0,0,NA,NA,NA,NA
"Guabal_140",0,0,0,0,NA,NA,NA,NA
"Guabal_160",0,0,0,0,0,0,NA,NA
"Guabal_180",0,0,0,NA,NA,NA,NA,NA
"Guabal_20",0,0,NA,NA,NA,NA,NA,NA
"Guabal_40",0,0,0,NA,NA,NA,NA,NA
"Guabal_60",0,0,0,NA,NA,NA,NA,NA
"Guabal_80",0,0,0,0,NA,NA,NA,NA
"LoopStream_0",0,0,0,0,0,NA,NA,NA
"LoopStream_100",0,0,0,0,0,NA,NA,NA
"LoopStream_120",0,0,0,NA,NA,NA,NA,NA
"LoopStream_140",0,0,0,NA,NA,NA,NA,NA
"LoopStream_160",0,0,NA,NA,NA,NA,NA,NA
"LoopStream_180",0,0,0,0,NA,NA,NA,NA
"LoopStream_20",0,0,0,0,0,0,0,NA
"LoopStream_40",0,0,NA,NA,NA,NA,NA,NA
"LoopStream_60",0,0,0,0,NA,NA,NA,NA
"LoopStream_80",0,0,0,0,0,NA,NA,NA
"LoopTrail_0",0,0,0,NA,NA,NA,NA,NA
"LoopTrail_100",0,NA,NA,NA,NA,NA,NA,NA
"LoopTrail_120",NA,NA,NA,NA,NA,NA,NA,NA
"LoopTrail_140",0,0,NA,NA,NA,NA,NA,NA
"LoopTrail_160",0,0,NA,NA,NA,NA,NA,NA
"LoopTrail_180",NA,NA,NA,NA,NA,NA,NA,NA
"LoopTrail_20",0,NA,NA,NA,NA,NA,NA,NA
"LoopTrail_200",0,NA,NA,NA,NA,NA,NA,NA
"LoopTrail_220",NA,NA,NA,NA,NA,NA,NA,NA
"LoopTrail_240",0,NA,NA,NA,NA,NA,NA,NA
"LoopTrail_260",0,NA,NA,NA,NA,NA,NA,NA
"LoopTrail_280",0,NA,NA,NA,NA,NA,NA,NA
"LoopTrail_300",NA,NA,NA,NA,NA,NA,NA,NA
"LoopTrail_320",NA,NA,NA,NA,NA,NA,NA,NA
"LoopTrail_340",0,NA,NA,NA,NA,NA,NA,NA
"LoopTrail_360",0,NA,NA,NA,NA,NA,NA,NA
"LoopTrail_40",NA,NA,NA,NA,NA,NA,NA,NA
"LoopTrail_60",NA,NA,NA,NA,NA,NA,NA,NA
"LoopTrail_80",0,NA,NA,NA,NA,NA,NA,NA
"MainTrail_0",0,NA,NA,NA,NA,NA,NA,NA
"MainTrail_100",0,0,NA,NA,NA,NA,NA,NA
"MainTrail_120",0,NA,NA,NA,NA,NA,NA,NA
"MainTrail_140",0,0,NA,NA,NA,NA,NA,NA
"MainTrail_160",8738.790283,0,NA,NA,NA,NA,NA,NA
"MainTrail_180",NA,NA,NA,NA,NA,NA,NA,NA
"MainTrail_20",0,0,0,NA,NA,NA,NA,NA
"MainTrail_200",NA,NA,NA,NA,NA,NA,NA,NA
"MainTrail_220",0,NA,NA,NA,NA,NA,NA,NA
"MainTrail_240",29.51704025,NA,NA,NA,NA,NA,NA,NA
"MainTrail_260",0,NA,NA,NA,NA,NA,NA,NA
"MainTrail_280",0,NA,NA,NA,NA,NA,NA,NA
"MainTrail_300",0,0,NA,NA,NA,NA,NA,NA
"MainTrail_320",0,0,NA,NA,NA,NA,NA,NA
"MainTrail_340",0,NA,NA,NA,NA,NA,NA,NA
"MainTrail_360",14.09153223,0,NA,NA,NA,NA,NA,NA
"MainTrail_380",NA,NA,NA,NA,NA,NA,NA,NA
"MainTrail_40",0,0,NA,NA,NA,NA,NA,NA
"MainTrail_60",NA,NA,NA,NA,NA,NA,NA,NA
"MainTrail_80",0,0,0,NA,NA,NA,NA,NA
"Silenciosa_0",0,0,0,0,0,NA,NA,NA
"Silenciosa_100",0,0,0,NA,NA,NA,NA,NA
"Silenciosa_120",0,0,0,0,NA,NA,NA,NA
"Silenciosa_140",0,0,0,0,0,NA,NA,NA
"Silenciosa_160",0,0,NA,NA,NA,NA,NA,NA
"Silenciosa_180",0,0,0,0,0,NA,NA,NA
"Silenciosa_20",0,0,0,0,NA,NA,NA,NA
"Silenciosa_40",0,0,0,NA,NA,NA,NA,NA
"Silenciosa_60",0,0,0,0,NA,NA,NA,NA
"Silenciosa_80",0,0,NA,NA,NA,NA,NA,NA
"Verrugosa_0",0,NA,NA,NA,NA,NA,NA,NA
"Verrugosa_100",NA,NA,NA,NA,NA,NA,NA,NA
"Verrugosa_120",NA,NA,NA,NA,NA,NA,NA,NA
"Verrugosa_140",0,0.359100662,NA,NA,NA,NA,NA,NA
"Verrugosa_160",0,NA,NA,NA,NA,NA,NA,NA
"Verrugosa_180",0,0,0,NA,NA,NA,NA,NA
"Verrugosa_20",0,NA,NA,NA,NA,NA,NA,NA
"Verrugosa_200",0,NA,NA,NA,NA,NA,NA,NA
"Verrugosa_220",NA,NA,NA,NA,NA,NA,NA,NA
"Verrugosa_240",0,NA,NA,NA,NA,NA,NA,NA
"Verrugosa_260",0,0,NA,NA,NA,NA,NA,NA
"Verrugosa_280",0,0,0,0,NA,NA,NA,NA
"Verrugosa_300",0,0,NA,NA,NA,NA,NA,NA
"Verrugosa_320",0,1.015916392,NA,NA,NA,NA,NA,NA
"Verrugosa_340",0,NA,NA,NA,NA,NA,NA,NA
"Verrugosa_360",NA,NA,NA,NA,NA,NA,NA,NA
"Verrugosa_380",0,NA,NA,NA,NA,NA,NA,NA
"Verrugosa_40",0,NA,NA,NA,NA,NA,NA,NA
"Verrugosa_60",0,0,NA,NA,NA,NA,NA,NA
"Verrugosa_80",9.531883597,0,NA,NA,NA,NA,NA,NA
